0.1,SETSPEED,0.3,0,0,0


17.0,STOP,0,0,0,0
17.0,PUTENEMY,0,5.5,Spider_C,0
18.5,PUTENEMY,0,0,Cloud,0
18.5,PUTENEMY,0,0,Cloud_R,0
23.5,PUTENEMY,0.75,13.25,Skelton,1
23.5,PUTENEMY,-2.25,13.25,Skelton,1
23.5,PUTENEMY,1.75,13.25,Skelton,1
23.5,PUTENEMY,1.75,11.75,Skelton,1
23.5,PUTENEMY,-0.75,13.25,Knight,1
23.5,PUTENEMY,1.75,11.25,Knight,1
23.5,PUTENEMY,-0.25,13.75,Knight,1
23.5,PUTENEMY,-0.25,14.25,Knight,1
23.5,PUTENEMY,-0.25,14.75,Skelton,1
23.5,PUTENEMY,0.25,14.25,Zombie,1
23.5,PUTENEMY,0.75,14.25,Skelton,1
37.0,PUTENEMY,1.25,16.25,Plant,1
41.5,PUTENEMY,-1.75,18.75,Plant,1
50.0,PUTENEMY,-3,5,BatWrap_L,0
50.2,PUTENEMY,-3,5,BatWrap_L,0
50.4,PUTENEMY,-3,5,BatWrap_L,0
50.6,PUTENEMY,-3,5,BatWrap_L,0
52.0,PUTENEMY,-2,5,BatWrap_L,0
52.2,PUTENEMY,-2,5,BatWrap_L,0
52.4,PUTENEMY,-2,5,BatWrap_L,0
52.6,PUTENEMY,-2,5,BatWrap_L,0
68.0,PUTENEMY,-3.5,5,BatWrap_Stop,0
69.0,PUTENEMY,-1.0,5,BatWrap_Stop,0
73.0,STOP,0,0,0,0
73.0,PUTENEMY,0,0,Demon_C,0
81.5,PUTENEMY,-1.25,30.25,Hand,1
81.6,PUTENEMY,-1.25,30.75,Hand,1
81.7,PUTENEMY,-1.25,31.75,Hand,1
81.8,PUTENEMY,-1.25,31.25,Hand,1
81.9,PUTENEMY,-1.25,32.25,Hand,1
81.0,PUTENEMY,-1.25,32.75,Hand,1
81.5,PUTENEMY,1.25,30.75,Hand,1
81.6,PUTENEMY,1.25,30.25,Hand,1
81.7,PUTENEMY,1.25,31.25,Hand,1
81.8,PUTENEMY,1.25,31.75,Hand,1
81.9,PUTENEMY,1.25,32.25,Hand,1
82.0,PUTENEMY,1.25,32.75,Hand,1
81.5,PUTENEMY,0.25,30.25,Hand,1
81.6,PUTENEMY,0.25,30.75,Hand,1
81.7,PUTENEMY,0.25,31.25,Hand,1
81.8,PUTENEMY,0.25,31.75,Hand,1
81.9,PUTENEMY,0.25,32.25,Hand,1
82.0,PUTENEMY,0.25,32.75,Hand,1
81.5,PUTENEMY,-0.25,30.25,Hand,1
81.6,PUTENEMY,-0.25,30.75,Hand,1
81.7,PUTENEMY,-0.25,31.25,Hand,1
81.8,PUTENEMY,-0.25,31.75,Hand,1
81.9,PUTENEMY,-0.25,32.25,Hand,1
82.0,PUTENEMY,-0.25,32.75,Hand,1
81.6,PUTENEMY,-0.75,30.75,Hand,1
81.5,PUTENEMY,-0.75,30.25,Hand,1
81.7,PUTENEMY,-0.75,31.25,Hand,1
81.8,PUTENEMY,-0.75,31.75,Hand,1
81.9,PUTENEMY,-0.75,32.25,Hand,1
82.0,PUTENEMY,-0.75,32.75,Hand,1
81.5,PUTENEMY,-1.75,30.25,Hand,1
81.6,PUTENEMY,-1.75,30.75,Hand,1
81.7,PUTENEMY,-1.75,31.25,Hand,1
81.8,PUTENEMY,-1.75,31.75,Hand,1
81.9,PUTENEMY,-1.75,32.25,Hand,1
82.0,PUTENEMY,-1.75,32.75,Hand,1

90.5,PUTENEMY,0,0,Cloud,0
90.5,PUTENEMY,0,0,Cloud_R,0
95.5,PUTENEMY,0,0,Cloud,0
95.5,PUTENEMY,0,0,Cloud_R,0

100.5,PUTENEMY,-1.25,40.25,Hand,1
100.6,PUTENEMY,-1.25,40.75,Hand,1
100.7,PUTENEMY,-1.25,41.75,Hand,1
100.8,PUTENEMY,-1.25,41.25,Hand,1
100.9,PUTENEMY,-1.25,42.25,Hand,1
100.0,PUTENEMY,-1.25,42.75,Hand,1
100.5,PUTENEMY,1.25,40.75,Hand,1
100.6,PUTENEMY,1.25,40.25,Hand,1
100.7,PUTENEMY,1.25,41.25,Hand,1
100.8,PUTENEMY,1.25,41.75,Hand,1
100.9,PUTENEMY,1.25,42.25,Hand,1
100.0,PUTENEMY,1.25,42.75,Hand,1
100.5,PUTENEMY,0.25,40.25,Hand,1
100.6,PUTENEMY,0.25,40.75,Hand,1
100.7,PUTENEMY,0.25,41.25,Hand,1
100.8,PUTENEMY,0.25,41.75,Hand,1
100.9,PUTENEMY,0.25,42.25,Hand,1
100.0,PUTENEMY,0.25,42.75,Hand,1
100.5,PUTENEMY,-0.25,40.25,Hand,1
100.6,PUTENEMY,-0.25,40.75,Hand,1
100.7,PUTENEMY,-0.25,41.25,Hand,1
100.8,PUTENEMY,-0.25,41.75,Hand,1
100.9,PUTENEMY,-0.25,42.25,Hand,1
100.0,PUTENEMY,-0.25,42.75,Hand,1
100.6,PUTENEMY,-0.75,40.75,Hand,1
100.5,PUTENEMY,-0.75,40.25,Hand,1
100.7,PUTENEMY,-0.75,41.25,Hand,1
100.8,PUTENEMY,-0.75,41.75,Hand,1
100.9,PUTENEMY,-0.75,42.25,Hand,1
100.0,PUTENEMY,-0.75,42.75,Hand,1
100.5,PUTENEMY,-1.75,40.25,Hand,1
100.6,PUTENEMY,-1.75,40.75,Hand,1
100.7,PUTENEMY,-1.75,41.25,Hand,1
100.8,PUTENEMY,-1.75,41.75,Hand,1
100.9,PUTENEMY,-1.75,42.25,Hand,1
100.0,PUTENEMY,-1.75,42.75,Hand,1

110.5,PUTENEMY,0,0,Cloud,0
110.5,PUTENEMY,0,0,Cloud_R,0

110.5,PUTENEMY,0.25,41.25,Hand,1
110.6,PUTENEMY,0.25,41.75,Hand,1
110.7,PUTENEMY,0.25,42.25,Hand,1
110.8,PUTENEMY,0.25,42.75,Hand,1
110.9,PUTENEMY,0.25,43.25,Hand,1
110.0,PUTENEMY,0.25,43.75,Hand,1
110.5,PUTENEMY,-0.25,41.25,Hand,1
110.6,PUTENEMY,-0.25,41.75,Hand,1
110.7,PUTENEMY,-0.25,42.25,Hand,1
110.8,PUTENEMY,-0.25,42.75,Hand,1
110.9,PUTENEMY,-0.25,43.25,Hand,1
110.0,PUTENEMY,-0.25,43.75,Hand,1
110.6,PUTENEMY,-0.75,41.75,Hand,1
110.5,PUTENEMY,-0.75,41.25,Hand,1
110.7,PUTENEMY,-0.75,42.25,Hand,1
110.8,PUTENEMY,-0.75,42.75,Hand,1
110.9,PUTENEMY,-0.75,43.25,Hand,1
110.0,PUTENEMY,-0.75,43.75,Hand,1

125.0,STOP,0,0,0,0
125.0,PUTENEMY,0,10.5,Mage_C,0
125.5,STOPSHOOT,0,0,0,0
